Titulo,Descricao
Técnico Administrativo - Logística,"Descrição
Descrição: Principais Responsabilidades: - Programação logística dos veículos da frota para atendimento à fontes e fornecedores;- Contato direto com stakesholders (fontes, fornecedores, prestadores, etc);- Planilhas de controle e gestão (custos, frete morto, pagamento de frete, fechamento, etc);- Atendimento dentro e fora do horário comercial (esporádico) para imprevistos nas programações de coleta;- Apoio à área comercial;- Apoio às atividades do entreposto. Outros requisitos: Requisitos Mínimos:- Experiência na área logística.Requisitos Desejáveis:- Excel avançado;﻿"
Assistente Administrativo(a) de Logística,"Descrição
Descrição: O Grupo Adecco está em parceria com uma empresa multinacional atuante no segmento de bens de consumo e está contratando um(a) Assistente Administrativo(a) de Logística para atuar de forma efetiva (CLT Adecco – Prazo Contratual de 24 meses), no formato presencial em Sumaré/SP.   Responsabilidades:Responsável pela solicitação de tarifas spot de frete.Dará suporte aos processos de BID.Dará suporte ao cadastro de fornecedores - inclusão, ajuste e exclusão.Dará suporte aos projetos de compras locais.Responsável pelo acompanhamento em contratos.Idiomas:Inglês - Nível IntermediárioOutros requisitos: Possuir Ensino Superior (Graduação ou Curso Técnico) completo ou cursando em Administração, Comércio Exterior, Logística ou correlatas.Vivência anterior em atividades dentro do departamento de compras.Experiência e conhecimentos nos setores de logística com operação de frete internacional marítimo e aéreo e logistica doméstica de frete rodoviário, aéreo, cabotagem.Possuir domínio do Pacote Office.Possuir Excel no nível Intermediário pois alguns reportes serão realizados utilizando a ferramenta.Desejável possuir Idioma Inglês ou Espanhol no nível Intermediário (para Leitura, Escrita e Compreensão)."
Auxiliar Administrativo Logística,"Descrição
Descrição:
Atividades:
* Realizar o monitoramento da frota, bem como cobrança/ baixa.
* Extração dos relatórios de performance dos veículos.
* Utilização ferramenta Ravex.
 
 
Outros requisitos:
Perfil necessário:
• Ter flexibilidade de horário;
• Ensino médio completo;
• Habilidade pacote Office, Excel avançado;
• Experiência da área de logística.
• Diferencial ensino superior completo ou cursando, e conhecimento SAP;
• Ser organizado;
• Diferencial língua inglesa."
Analista de Administração Logística,"Descrição
Atividades:
Fazer análise e gestão de estoque.
Atuar na resolução de divergências de estoque.
Realizar controle de produtividade.
Elaborar planilha de indicadores. Atuar com atribuições ligadas a WMS.
Controlar as saídas de lotes de produtos.
Controlar estoques de matérias-primas e produto.
Coordenar o serviço de carregamento de matéria-prima dos fornecedores.
 
Requisitos:
Excel avançado.
Perfil desejado: analítico, comunicativo, proativo e dinâmico.
Ensino Superior Completo em Logística Engenharia, Administração e áreas afins. 
 
Local de trabalho: Guarulhos - SP.
Necessário Disponibilidade Total"
Gerente Administrativo Financeiro,"Descrição
Descrição: Responsável por toda a gestão da equipe administrativa financeira da companhia (administrativo, financeiro, compras, almoxarifado).Acompanhar movimentações de exportação de ferro gusa.Acompanhamento e apresentação de indicadores financeiros (contas a pagar, contas a receber, fluxo de caixa).Contribuirá no processo orçamentário e planejamento orçamentário.Acompanhar disponibilidade financeira e conciliações diariamente.Acompanhar e autorizar emissão de NF complementar ou substituição de notas de venda quando pedido pela usina.Gestão de contratos (vencimentos, renovações, aditivos, etc).Controlar o Calendário anual de despesas de IPTU e Taxa de incêndio.Controlar Despesas matriz e filiais.Controlar documentos/fechamentos enviados à contabilidade mensalmente (relatórios de faturamento, contas a receber e adiantamentos em aberto, que são emitidos através do sistema Metal Soft com o objetivo da contabilidade estar sempre alinhada com o financeiro).Relacionamento com bancos.Gestão de compras de suprimentos, apresentação de indicadores, redução de custos.Gestão de almoxarifado, apresentação de indicadores, redução de custos.Gestão das equipes - Compras, almoxarifado e financeiro.- Regime de trabalho: PresencialOutros requisitos: -Formação completa em administração de empresas, Contabilidade, Economia ou afins;-Experiência com gestão de pessoas, processos financeiros e administrativos;-Conhecimento avançado em Excel;Desejável
-Pós-graduação;


-Experiência com Sistema Metal Soft;- Vivência em siderurgia de gusa."
Gerente Administrativo Financeiro,"Descrição
Requisitos: Superior completo
Atividades:

planejar tarefas administrativas;
controle financeiro;
implantação de projetos (infraestrutura, divulgação e ações);
Garantir o cumprimento de normas e procedimentos técnicos da empresa;
contração de pessoal para campanhas e projetos;


 
Regime de trabalho presencial - Segunda à Sexta-feiraLocal de trabalho: São Paulo - Zona Oeste"
Gerente Administrativo Financeiro,"Descrição
Consultório Odontológico em Conselheiro Lafaiete contrata Gerente Administrativo Financeiro.
Descrição das atividades: 
Realização de contas a pagar, contas a receber, compras, conferência de caixa, contato com contabilidade externa para aprovação das atividades das áreas contábil, fiscal e departamento pessoal, gestão da equipe Administrativa, limpeza, atendimento, gestão dos equipamentos e manutenção da estrutura.
Requisitos Mínimos:
Vivência comprovada com gestão geral de empresa; Informática Intermediária.
Benefícios: Tíquete Alimentação, Vale TransporteRegime de contratação: CLT (Efetivo)Horário: De segunda a sexta, das 09h às 18h."
Assistente Administrativo - Logística,"Descrição
Descrição: Responsabilidades Auxilio administrativo para a operação.Processos financeiros ( contas a pagar e a receber).indicadores relacionados à área de logística.interação com nossa estrutura coorporativa na gestão de indicadores.Outros requisitos: Diferencial\ Desejável: Formação: Administração de empresa, administração, logística e áreas fins.Conhecimento em Power BIExcel avançado Conhecimento sobre processos de transporte e logística.Desejável que resida próximo de Cabo de Santo Agostinho/PE."
Gerente Logística Agroindustrial,"Descrição
Descrição:

Gerir as métricas das unidades operacionais com identificação dos desvios em indicadores de segurança, produtividade, qualidade e custos com acompanhamentos diários, semanais e mensais, dos indicadores e criar planos de ação/atividades com as unidades para acompanhamento, mitigando desvios e sendo o guardião para o cumprimento dos planos operacionais;
Garantir os rendimentos e eficiências com referência aos planos definidos, e corrigir desvios em conjunto com as equipes operacionais de campo, incluindo performance de fornecedores;
Liderar e direcionar as unidades na alocação recursos e equipamentos necessários para realizar a atividade de CTT, Plantio e demais processos, acompanhando o dimensionamento de frotas visando a otimização de recursos e equipamentos;
Garantir alinhamento com áreas agrícolas de apoio, manutenção, corporativo, planejamento e indústria, visando sempre otimização e estabilidade da moagem e produtividade de equipamentos de campo;
Implementar e liderar a cultura referente a utilização de ferramentas PDCA, 5W2H como foco em resoluções de problemas, gerindo as equipes perante estes processos e garantir o cumprimento dos planos de ação;
Responsável pela criação, padronização, manutenção e elaboração de processos, garantindo o cumprimento e o governance dos Padrões de Gestão Agrícola referentes a Central de Logística Inteligente (SmartLog);
Participar no desenvolvimento de novos projetos de tecnologia agrícola, sendo o responsável por implementar os projetos, bem como sistemas de logística e monitoramento, integrações e gestão dos sistemas, garantindo a aderência de utilização das novas tecnologias e sua qualidade na captura de valores;
Desenvolver, capacitar e treinar recursos de forma a garantir a sucessão adequada dentre os diversos níveis de analistas, supervisores, líderes e coordenadores;

 
Conhecimentos técnicos desejáveis: (Hard skills)

Conhecer e gerir os processos logísticos, planejamento e gestão de ativos;
Gerir sistemas de apoio a área logística;
Participar da elaboração da programação de manutenção e planejamento;
Conhecer e gerir indicadores Logísticos;
Conhecimento no pacote Office: Word, Powerpoint, Outlook intermediário; Excel: intermediário/ avançado, Power BI ou Click view (Desejável).

 
Habilidades pessoais desejáveis: (Soft skills)

Capacidade analítica, logica e de observação;
Experiência em gestão de equipe e liderança de equipes em turnos;
Negociação;
Visão estratégica do negócio;
Assertividade em tomadas de decisão;

 
Como será o seu dia a dia: Responder pela gestão operacional (24x7) da Central de Logística Inteligente (SmartLog) com relação ao Corte Transbordo e Transporte (CTT), Plantio e Monitoramento de Incêndio nas 11 unidade do grupo BP Bunge, garantindo a entrega dos planos de operação e gerenciando diariamente os dados gerados pelos sistemas, por meio de relatórios, verificando possíveis irregularidades condicionadas ao planejamento, interferindo nas operações quando necessário, visando garantir o cumprimento dos prazos, dentro de padrões qualitativos e de custo. Garantir a implementação dos novos projetos operacionais, de tecnologia e logística agroindustrial. Gerir as equipes no desenvolvimento de habilidades logísticas e gestão de time, capacitando estas pessoas na execução logística de alta performance. Ser o guardião dos padrões e indicadores agroindustriais operacionais e gerenciais que envolvem toda cadeia produtiva da cana de açúcar; 
Requisitos:

Ensino Superior completo em Engenharia, Logística, Agronomia, entre outras;
Pós-Graduação será considerado um diferencial;
Inglês técnico e business em nível avançado necessário;
Disponibilidade para atuar em São Paulo (SP)."
Administrador,"Descrição
Descrição: Superior completo em Administração;Experiência na atividade comprovada em CPTS;Conhecimentos em planejamento, acompanhamento e controle de projetos industriais de montagem ou manutenção industrial em ambiente multidisciplinar: instrumentação, civil, eletricidade, automação, etc;Conhecimento avançado em ferramentas de gerenciamento, planejamento e controle de projetos;Conhecer e operar o sistema SAP ERP, módulo Planejamento de Manutenção e Materiais;Conhecimento das rotinas das atividades desenvolvidas em unidades de produção marítimas em regime offshore;Experiência nesta área na Industrial de Óleo & Gás.Idiomas:Inglês - Nível BásicoOutros requisitos: Conhecimento avançado pacote office;Desejável Inglês."
